sentiment	productId	userId	summary	text	helpfulY	helpfulN
		A1UDF2QA5DKDFB	Best popcorn, best price by subscription	I ordered this initially just to try something less expensive than the whirly pop brands. I was really glad I did and I will continue to buy it. Everyone loves it and it is the perfect thing for the whirly pop popper. Buying it on subscription is the best way to go - decreases the price and eliminates shipping charges. This is a keeper.	1	0
		A1EUUMCY1DE1DF	Great Snack	Since losing weight my snacks have become far and few. With these I can have low calories and high protein. I love the taste.	0	0
		A2G7E5M928TVKE	ZiwiPeak is made in the US, consistency problems	Many people are buying this food believing it is safer because it is made in New Zealand. It is now made in the US by Performance Pet Products. I have been feeding this food to my cats since the recall horror of 2007 and prior to the change it was excellent food and I was thrilled with it. Since ZiwiPeak has been switched to canning in the US it has been a nightmare. Several times in the last year I have opened the food to find it is a green or blue colour. I had to return those cans because it made both my cats vomit and have loose stools. Also recently I have found large sharp bone pieces are present and very large strange chunks of greyish pink material that looks like connective tissue. I've contacted the US distributor twice but they have never replied. A batch I got this month with an expiry date of 2014 has caused severe vomiting and shedding with both cats who were previously healthy.	11	0
		A16LRBEMTPMRRA	Decaffinated Tulsi Tea Priced Way Too High	For Tulsi Original Decaffinated Tea the price is outragious for 1 box -- over $16.00!!!!! Rip off!!! What's the difference in cost for regular caffeinated and decaffinated to make the price too high. I don't get it.	0	5
		A2XHKPWCJHMWUN	Great value for egg protein	In general, egg protein doesn't have the best taste.  Since it has a mild flavor, mixing with other ingredients (e.g. bananas) work well.	1	0
		A2TB91BKWWY6N1	Greenies	My dogs look forward to this treat every morning. It helps the breath issue and satisfies the chewing need as well! I can't be without them.	0	0
		A2HG5XHSQDBLG9	Save money	For people watching weight or nutrition,these chips are an excellent substitute for regular chips.  They have plenty of protein as well.<br />Amazon's price is much cheaper than buying packs at the local grocery store.	3	0
		ARMT5S0PF0W5P	Royal Oak Peanuts	The Royal Oak Virginia Salted Peanuts are great. I would highly recommend these<br />and will reorder from time to time. I bought two 2 packs, a total of 4 40 oz cans.	0	0
		A1K4KGJRRCY7MZ	Pretty Good GF Substitution	These brownies are a pretty good substitution to regular brownies.  They're nice & chocolate-y!  I've served them to some friends who aren't on a gluten-free diet & they say they wouldn't have known the difference if I didn't tell them.  I recommend them!	0	0
		A1Q9CRXICY363I	Great way to purchase Sugar-in-the-Raw.	I've always like Sugar-in-the-Raw but it is usually too expensive. Amazon has this priced very reasonably and I've been buying it regularly. I also try to avoid any food with hi-fructose corn syrup, and this sugar is what I like.	0	0
		A24RMGMOIXC88V	great northern popcorn	I just love it, the popcorn pops fast and when it is done you have real old fashioned movie theater popcorn just like the old days	4	0
		AIFK11FY4SUXY	Tamarind makes a delicious stew	Tamarind paste gives delicious slightly sour taste to dark meat of chicken, pork and beef.<br />Make a stew without potato, because potato is not good in a sour dish.<br />Add 1 table spoon of tamarind to 2 lbs of meat and 2 onions.<br />Dry oregano, cumin powder, salt, pepper and garlic to taste.<br />Mix everything and cook till ready.<br />99% of your guests will like the dish very much.<br />For lean parts of beef use tamarind to marinade meat overnight before cooking it in a slow cooker.	3	1
		A28RMYGO9RGA0K	french's roast'n bags	i love this product cant find it locally. Sometimes little out of the way stores have it.But i also love the chicken,pork chop bags.Every store i go in i look for them the lastplace i found it was at a meat market.	0	0
		A3A7AWWYDEE9QI	Hormel Compleats are simply wonderful	These dinners are as close to perfect as can be found here in the mountains.  Quick, easy and delicious!	0	0
		A1B5T3IUHLZ2UU	FLAVORED COFFEE??	Nowhere in the description does it mention anything about this coffee being flavored. I'm still not sure what flavor it is. Some type of nut. I wrongly assumed that Jamaican coffee would be similar to the Blue Mountain coffee which Jamaica is known for! How silly of me to assume that! I hate flavored coffees so I was so disappointed to now own 2 boxes of such a horrible coffee. It only says flavored very small on the box so I didn't notice it before I opened it. Hopefully I can pawn it off to visitors and buy some regular bold coffee-flavored coffee for myself!	7	3
		A32XGYDA14KT13	Well I really kinda cheated.....	When I saw that this product was being offered to us as a VINE product for testing and feedback, I immediately ordered it.  The reason that I consider it a cheat because this is already a product I know and love and this was a chance to get some MORE.  LOL<br />I love the ease of opening the packet, adding water, putting it in the microwave for two minutes then stirring and adding some milk and ENJOY!  I love this oatmeal and the maple brown sugar is my favorite flavor.  This is definitely a recommendation to buy and enjoy.	0	0
		A2E1VCI6QCP8WL	Great first cereal!	My six month old baby loves it. It seems to be her favorite food. It also is easy for her to digest, and I love the fact that she's already able to get probiotics in her system. It's the perfect first cereal!	0	0
		A1GQAKL9CGQLP1	Great Gift for the Holidays	I love giving and receiving these Lindor Truffles Assorted Gift Boxes for the holidays.  They are delicious, bite-sized gourmet chocolates that are individually wrapped.  The wrapping looks like miniature gifts with the sparkly and festive colors that look pretty around the holidays.  They look almost like miniature Christmas tree bulbs.  With the assorted flavors, everyone can find one they like at least.  And it's fun to sample the different flavors.  Dark chocolate truffles are included and everyone knows now that dark chocolate is good for you.  (Chocolate is a vegetable, after all--chocolate is a bean.) These seem to have popular appeal--even my sons and their friends like them. The host/hostess can put these out for a party, and save some for their family.  They keep well in the wrapping and are a perfect after-dinner mini dessert.  I find one is enough for a tasty treat.  If you like chocolate, you should enjoy these bite-sized chocolate treats.	4	0
		A1Y872T0LII6P1	Love it!	I received my Keurig really fast after ordering it and it came in in excellent condition.  Absolutely the best purchase I have made in a while!	0	0
		A135EEFOPQTJ1F	4 0z. Great Northern Popcorn  ~  Delicious	A+  I bought this product to use with my new 4 0z. Popcorn machine.  The flavor is absolutely delicious!  I agree with the other reviews that I've read...it tasted just like theater popcorn!  There were a few old maids left that didn't pop but I will buy more when my supply runs out.	0	0
		AUKES5H8YTOEE	Dogs refused to eat it	"I expected Newman's Own dog food to be great.  It may be very nutritious, but my little terriers told me, ""We are NOT eating this stuff.  Period.  No Way.""  After 3 days they sniffed their bowls and walked away.  So I ordered another organic dog food (Natural Balance Organics) and it came today.  So, half old, half new, by the book, and they picked out the new stuff and left the Newman's in the bowl.  Go figure.  Just thought some of you might like to know.  I am switching them from Iams to something much healthier and I finally think I have a match.  But it's not Newman's."	2	2
		A2LA7OP41JJNKF	My dogs love them	I purchased these for my dogs for thier teeth cleaning capabilities. My dogs love them and the price on Amazon was much better than in the stores. They do help with cleaning the tarter off of my dogs teeth	0	0
		A2NVF1654CU0VS	Perfect	Just a perfect transaction. I can't buy this candy anywhere in my town so this was a great find.	0	1
		AVFP6Y641X6CZ	COTTAGE CHEESE RECIPE...	I have always used SPIKE on cottage cheese.  It's an old trick. NOW... finely chop some green onion tops, some parsley and some garlic.  Mix that into small curd Cottage Cheese, season with SPIKE. Chill.  Even great on toast. High protein and delicious!	3	0
		A27O5ZUFAEWT9L	Meets the Picky Cat Taste Test	"My youngest cat is very particular about what he eats.  He absolutely will not eat if something doesn't meet his expectations.  Between that and the recent pet food recalls, I've had a really hard time finding cat food that I can feed him.  I'm happy to say that the Merrick Southern Delight clicks with him, plus it has no wheat gluten or other fillers.  The texture of it is appealing, too . . . it's not just ""mush"" or Spam-looking like many foods.  I'll continue to buy Southern Delight and plan to also try out some of the other Merrick flavors."	3	0
		A2FF6O16COSI93	BBQ Rub	I've been trying to find a good paprika for a rub used in the smoker. This stuff is the absolute best that I've found. It's sweet but still has all the flavor you want from paprika without being overly smoky. If you make homemade rubs, I strongly recommend this stuff.	0	0
		A1TLH7LQZE70IK	Simply Amazing,	Although they taste somewhat like Granola bars but yet, Super in Taste, Extremely Healthy, Balanced Diet, and after all my No. 1 Choice.	1	0
		AJXA1LEPPNFW4	Not great	My family and I enjoy the salt & vinegar chips that lays makes as well as the kettle cooked chips, so we wanted to try these chips because we've seen them all over the market. i took a chance and purchased them online on amazon and I regret taking that the chance. We do not like the dry and more on the salty taste of these chips. I will no longer make purchases on items that I can try buying at the store first before investing in buying by bulk and saving online. Do not purchase these chips unless you already tried them before.	2	4
		A1FXQS81ND2GYY	Good tea	Nice robust flavor.  Tastes very good with cream and sugar or black.  I will continue to buy it.	5	0
		A1MJS2BIKE44ZP	Great for ferrets too!	On the first offer my ferret didn't want the treat. But a couple of days later I noticed him trying to steal the whole bag, so I offered a piece again. This time, and ever since, he's loved it. Go figure!<br /><br />I like this treat for ferrets because the pieces are appropriately sized (ie- small) for a ferret, and the ingredients and stats are superior to most ferret treats! His digestion has been less affected by these than by many ferret treats also :)	0	0
		A5DNLV9G9J1C5	K-cup coffe	We were very pleased with this product and the short time in which we received it.	1	1
		AXT0PC65KS84R	disappointed	I ordered two 24 can packs of 11.5 oz. V-8 juice, which were boxed together and filled with inflated plastic to buffer. When i opened the box, although all the flip-tabs appeared to be intact, one can had leaked some of it's contents and the juice was all over the other cans and inside the box. I weighed the cans to find out which one/s had leaked and that's how i determined which one to throw away.(the weight of the cans varied, but the variance was consistent, except one can was a few ounces short)  I am hoping it was just from the one can and i don't turn up with salmonella down the road. Since this was a UPS delivery, i am kind of surprised that amount of pressure was put on this package. Usually get superior service from them. I have ordered like this in the past, and the product arrived in perfect condition, so as i said, i was disappointed this time.	0	1
		AJSTGUC7GWMWD	Best Tea	Fennel tea is the best herbal tea I have been able to find and Seelect is the best-tasting brand of those I have tried.	0	0
		A3CCASTCZW5G0	Complete satisfied	The instructions are so simple to follow. Everything in the description was neatly supplied. The quality is amazing and I was able to grow fantastic wheatgrass.I<br />feel so healthy and happy about the choice I made. I will definitely be<br />ording from Rejuvenate Forever again.	0	0
		A41JQE7UEDX7Y	German Shepherd's Favorite	My girl has loved these for two years.  When the local retail outlet, Trader Joes, no longer carried them-we found the manufacturer.  This is one of the few treats Wilhi Girl enjoys.	0	0
		A3UBHAGQW18FDR	Would buy again	These are pretty good. I haven't tried any other brand of these but just judging this brand alone I would buy again. The price is good and the product taste great. I eat 12 of them as a lunch so they don't last very long.	0	0
		A2ZM4BI08T884J	Love it!	I really like the flavor of this one! It has a low acidity but still full of flavor! Now I have to have it every morning and I am having trouble finding another one I like this much.	0	0
		A3H0B2IQ78XAUM	Wonderful product	Love these sprouting seeds.  The mixture adds a tangy interest to the sprouts.<br />Great in salads and on sandwiches.  We live in a remote area with limited access to fresh produce.  These sprouting seeds add freshness to our sandwiches and salads.	0	0
		A2XMSLLYHDZXQH	Very dissapointed.	I truly was looking forward to using these flavored syrups for making Latte's and other coffee drinks. First of all I do not like Splenda sweetener because to me it has a lingering after-taste. I had hopes that the flavored syrup would at least hide the bad taste but to me it only seems to make it worse. I will buy the Torani Flavored syrups again but only in the sugar sweetened versions.The true flavors of these Sugar Free syrups seems to be overpowered by the Slenda after taste.	2	4
		AR4R0I0ISSUJ5	My 2 Dachshunds love these	My two little boys love these treats. So much in fact that I've been cutting them in half so they can have them more than once a day. I honestly can't say that they reduce tartar but I can see how they would with their chewy texture.	0	0
		A2T5Y84ZTY0F7F	Love, Love , Love Revv Pulse!	I ordered regular Revv not knowing if it was all a gimmick and was very pleased with the coffee. I work overnights so I figured the Revv Pulse would be a plus so why not try it! Wow, this K-Cup really delivers on taste and yes it did give me a boost! I cant fake the funk at work all night and a couple cups of Revv Pulse (over ice with creamer is my preffered way to enjoy coffee) had me alert and awake for my whole shift! Both Revv & Revv Pulse are strong coffees so if you are looking for something light this isnt it. Its bold but not bitter which is what I enjoy and stands up great against a full glass of ice. I wasnt able to taste anything strange or any type of herbal tastes. I am very happy with both my Revv & Revv Pulse purchases. Side note: I bought Revv Pulse here through Amazon only because both Green Mountain and Keurig.com are sold out of it at the moment. Its cheaper by almost 10.00 on the other sites.	0	0
		A1TPGWR8AZTT9	Not what I ordered.	I got two Teas and one type of iced coffe and the rest were HOLIDAY COFFEES and APPLE CIDER!  Spicy Eggnog? Gingerbread? Bait and swtich.  The only redeeming factor - Amazon was great and issued me a refund.	2	0
		A1U0D7C230GS5S	No fish here	Horrible stuff, does not smell fishy, smells rotten, taste like metal, mushy, just bad expensive tuna. Can not get pass the smell. Rotten.	0	0
		A2W5K1J5D3AP	Pumpkin has more carotenoids than carrots and taste better	"Scientific research shows that eating foods high in carotenoids like pumpkin can give one a healthy glow that rivaled a sun tan and made them more attractive in tests...<br />The article at healthland time dotcom ""study can a veggie rich diet make you more beautiful""<br /><br /> I purchased several cases of ""Farmers market foods organic canned pumpkin"" while Amazon had it on sale. Most of the cans arrived in great condition a few had dents but nothing severe.The pumpkin itself taste yummy -so I'm hoping to improve my health, eye sight and get some color without using self tanners ^_^"	1	0
		A2UQJ4AER88CC1	Wonderful	I originally found these mints at Whole Foods. They taste superb and you get a lot for your money. Plus, it comes in a cute little tin which you can repurpose for other uses! My dog loves them, too. Go organic!	0	0
		A34Z0UH857EXWS	BEST tasting honey I have ever had!!!!	Bought this honey at a local farmer's market and I can never go back to normal old grocery store honey. You can taste the blackberry! So yummy!	0	0
		A9ALZVYU0U8GA	Nice stuff	I would rank this seller as A++ and the item itself is of good condition and quality. I llie its combination of gums of different flavors.	0	0
		ANU0095EMJBCT	Tasted Great... For About 3 Weeks	I was a bit dismayed that there wasn't an expiration date on the box or on any of the individual packages. The popcorn tasted great for about 3 weeks and then it just tasted stale. Gross, I had to throw out over half of the product.	0	1
		A924TGDY44X4X	Great snack	I don't actually eat much milk and cereal, but I do snack on frosted mini-wheats throughout the day. I just grab a handful here and there when I'm hungry and looking for a snack.  There IS some sugar added obviously, but there's also a lot of fiber.  When compared to a typical snack, this is the far healthier choice.  Loved them when I was a kid and I love them now.	2	0
		AYG4PKWTA6Q3E	Coombs Organic Maple Syrup	Very good organic maple syrup.  Use with apple cider vinegar for detox and blood pressure.  Husband uses for cooking bacon recipes.	0	0
		A3NY87GDWM51U7	Disappointed	It seems alot of items on Amazon get undeserved glowing reviews.  I tried these (original and chocolate) because of the reviews but they're nothing special. I'm sure I'll end up throwing them away when they go stale.  This has happened to me before so I wonder if Amazon pays people to write reviews?	0	4
		A3GDUEP67XS2J7	Best baby food ever	My son loves Earth's best baby food. He enjoys his vegetables as much as he does with his fruits. He has no problem digesting his food and never spits it up.	0	0
		A34NVQTFD4QYJ0	good, not great	I have fond memories as a kid of going to the swap meet with my parents getting the biggest bag of pork rinds they had and pouring as much hot sauce on them as you could handle. Now that pork rinds can be considered a health snack I bought this box thinking I could have a decent snack every day. Well they pop up great in a large enough microwave. The issue is the seasoning. There is way way way too much salt in the seasoning and adding additional hot sauce makes the experience that much more unenjoyable.<br /><br />I now have these when I am pretty hungry and want to bring compact snack to a place where I know there will be a microwave but I will not be ordering these again once the box is finished.<br /><br />Oh and they aren't hot nor spicy. Just salty.	0	0
		A1REUVV0JG6S1F	Really great gluten-free brownies!	The Gluten-Free Pantry Chocolate Truffle Brownie Mix is so easy to make and tastes heavenly.  I combined two packages and baked the brownies in a large cake pan, then cut them into serving size and froze them.  They taste as good after being frozen as they did the day I baked them.  In my book, these brownies taste better than anything sold in the supermarkets as regular wheat-containing brownies.  I recommend the mix to anyone hungry for the real thing!	3	0
		A25IUSELS10P2L	Choked & Barfed- see video	"<span class=""tiny""> Length:: 0:39 Mins<br /><br /></span>So this might be a gross video to watch... but I'm posting this so that others might see what they are in for.<br /><br />I have an adult boxer dog with dental problems (gum overgrowth, as do most boxers) so I bought several dental health products-including these chews.<br />I bought the large size chews, and for the first half of the chew (they are rectangular shaped), it worked great.<br />Then towards the last bit, he didnt know what to do with it. It wasnt firm enough that he could hold it and chew on it, he had to put the whole thing in his mouth and chew on it. He tried to swallow it, then realized it was too big, so kind of hacked it up, and kept chewing. I started filming during this part, to show how the hacking becomes problematic, but you can see that at the end of this video, he barfs the whole thing up.<br /><br />I think that in theory, enzyme-assisted dental care is great, but probably should stick with the toothbrushes/toothpaste so that it is controlled and doesnt become a choking hazard.<br />I think I will stick with tooth-brushing followed by a small mint-flavored treat to reward the toothbrushing.<br /><br />I wanted to agree with the reviewer who wrote that this should seem as much a hazard as any other rawhide/toy, however here is why I think that is wrong: This big flat rectangle shape seems to add problems to breaking down into smaller pieces, whereas the twisted rawhides allow for holding between their paws while gnawing down to a small piece. I will stick with the latter shape in the future."	2	1
		A28AD80E2TBQM	Best I ever had	$44.39 a case? Are u kidding me? Just buy it from the East West web site for $28 a case.	0	0
		A1H6J2BIU9LIW3	Just What I Wanted	I had this chai tea at a local restaurant and loved it.  After searching all over for it I finally found it here at Amazon and was quite pleased. Though I think it is a little expensive, I haven't found any quite as rich and satisfying.  One caution is that it's fairly sweet and higher in calories and saturated fat than I wish it was, but the taste makes up for it.	0	0
		ABHYO13KH2RFE	Im glad I purchased this great price	"I wasn""t sure if I would even like the Keurig coffee maker because I don't like strong coffee,this is wonderful for all of us who like the mild brews,plus these little k-cups are so convienient,I recommend this product."	0	0
		AJWTW7FNUGEZ8	good eating	If you are a man this is the best you can do for your health, eat Pumpkin Seeds.  Bob's Red Mill has the best grown here in the good old USA.  The others are from China, enough said.	1	0
		A38H7Q0SRVGBJK	Bit pricy, but really good	I am now on my last box (of three) of this Gevalia Espresso Roast and have been impressed. It does pack a punch like the other reviewer said. One double shot latte of this made in my Aeropress at 9pm keeps me up until a good 2am in the morning. ;)	2	0
		AKPLEJ4Z49J15	yuuuummmmmmy!!!	the only chips that I will eat all the time.....so yummy and I believe, it's all natural. My husband liked it too. He likes having chips once in a while, or while watching a dvd. Now, he's switched to this chips and he just loves it so much.	0	0
		A2UGMUPCW2ZVSH	Hope you have sharp teeth	Hope you have sharp teeth cause this jerky is tougher than your grandpas leather shoes. I broke a darn tooth eating this gator hide like jerky.<br />You get what you pay for with this product. I bought this jerky to save a couple bucks now I have to spend $1300 to get my darn tooth fix.	0	1
		A1HLP1ZEW5GCEO	Great Treat and Fresh Breath Too	I've tried both the Peanut Butter flavor and the new Dental paste. My dog loves them both. The best part is that the Dental paste really has helped her breath. Thank God, because it was getting pretty bad! Definitely a great and helpful treat on occasion for my dog.	0	0
		A3PQLIH8PXWGRW	Great Jerky	Great Stuff, I think it's better than the real thing and a lot better for your body. My favorite is the hickory smoked because I like spicy foods, but all the other flavors are good to.	1	1
		A2CUXNQJT8Y38G	passion	amazing taste, incredible quality. This is the best beef jerky I have ever had. I think it's even better than the other non-halal ones. This beef jerky made me leave my first review ever on amazon though I'm a regular costumer of theirs. Thumbs up!	1	1
		A3VSMSEGHLS0PU	Fooled My Friends!	This is THE best gluten-free pasta ever. I have used it for pasta salads that I served to friends, and they never knew they weren't eating regular pasta. One caveat--be sure to not overcook it, or it will get mushy. I've tried all the Tinkyada shapes, and they are all good, but the fusilli is my favorite because it's so versatile.	0	0
		ABABUIZWL3UP7	great chili	This is my favorite dry mix soup. I can't really find it at our groccery stores, and if i do, it's never this kind. I love the soup not to hot, not to mild. I usually add ground hamburger meat to it. Love it, so when I saw that amazon carried this I was thrilled, now I can always have it on hand! Thanks Amazon!	0	0
		A8343K7CN8LT4	Awesome, big, my Pitt loves them...low fat too	Great treats, my Pitt needs weight control snacks and these treats are amazing. He loves them, and they have like sixty calories each, plus they are big, almost thr size of a pinky finger. My pup gets one after doing his business in the yard, and they satisfy him. I am glad I found this product and I will be ordering it again. Also, the bag is large so it lasts a while. A good value and an awesome item for dog owners. Perfect of medium or large breed doggies.	0	0
		A2TXEZS99BQHID	WHY DOES IT TASTE SPICY??...EWWW	This is the worst energy drink I ever tasted. It has a really big spicy flavor to the drink. The spicy to the drink over powers it and its impossible to even finish one out six. I even tried giving the other five away for free and people would do the same thing I did throw it away. So I really spent about $19.00 down the drain.	5	7
		AUZDX389VTJ1X	Happy Camper!	I have a German Breed, G.Sheph. & he is VERY, VERY, PICKY! He loved them. He is such a happy camper. He wakes up in the morning & ready to go for his walks & comes home straight to his treat cabinet, he wants his chicken stix....thank you, finally something that my boy loves....	0	0
		A1U6D9Q8SX5FGH	Savory	We love these crackers!  They are fresher and crispier when purchased by the box.	0	0
		A1EFLPGD33S02F	Great all around taste!!!	I received some Green Moutain Coffee K-Cups as a sample test through Buzzagent and I was quite pleased with this.  It's not too strong of a coffee, but not too weak of a coffee either, it has a great blend of flavor.  It has a smooth taste and is not to bitter like some coffees tend to be.  Good price on this brand as well.  Overall I would have to say this a keeper for my morning ritual.	0	0
		A2R6SB61DQ1VXU	This is areal maple syrup!	"I rarely get excited enough about food products to write reviews, but this maple syrup deserves it!<br /><br />I've been buying real maple syrup for years. At the supermarket, Whole Foods, Costco, what have you. I've NEVER been satisfied with the artificial stuff. All these years I thought I had tasted good maple syrup. Well, I hadn't. I've never been a stickler for the ""Grades"" or locations, but I guess I've been mostly buying Grade A mediums and darks from Canada.<br /><br />At first glance, the maple syrup is really dark. A bit watery, but I think good for pancakes and such (what I bought it for). However, as soon as you taste it, WOW! Flavors of maple trees with the cool wind in your face come to life. And it's not as sweet as the competition, which is good for me, since I want more of that mapley taste!<br /><br />I will be buying this syrup as my go to brand for a while to come."	2	0
		A1KLJFICL4YVXD	Love the taste!  Best bang for the buck maple syrup!	Tastes great, and it's a quality product at a price a few dollars cheaper than the alternatives, even at our local supermarkets.  It's tough to find Grade A medium amber syrup in pints.  I'll probably just keep ordering these a few times a year.	0	0
		AHA9SPGZX4OE	Happy to have found this product	With all of the choices of things to drink, this is an excellent one. It tastes great. Most of our choices are either loaded with sugar, or carbonated ... even milk is sugar-dense. This drink is good for blood pressure and cholesterol. It is an excellent thirst-quencher. So much better for the hot summer months than sugary lemonade! It does, however acidify the pH. I am supposed to be alkalizing my diet, so I can't drink a lot of this. :(<br /><br />From the time I was a small child, my mother was an advocate of apple cider vinegar and honey for health. Hippocrates would have been happy to discover Bragg Organic Apple Cider Vinegar All Natural Drink: Concord Grape Acai :))) Try it and drink to good health!	3	0
		A3C9BHY32M07K0	Best ever	Dogs love them and they are made the best way, They are about $4.00 cheaper that the pet stores and no tax	0	0
		AWNRK5U5VSD0Q	Excellent Candy!	Oh my, these came in the mail today, and they are absolutely fantastic! They taste exactly like a fresh piece of grapefruit, I love, love, LOVE them! I will definitely order them again.	0	0
		A301DV27GTJGIE	Love the individual servings of Special K	My husband and I love these.  This is so much easier and nicer than cereal from a big box...  we find that we eat these often; and hardly ever ate cereal otherwise.  These are great to take to work.  The individual portion size helps us, and we love having the freshness these provide.  The cost is excellent as well.  And the container recyclable.	0	0
